image_file,audio_file,final_prompt
Wood3\15.jpg,Wood3\Wood3_stick_paral_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed parallel to the grain.
Wood3\15.jpg,Wood3\Wood3_stick_paral_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed parallel to the grain.
Wood3\4.jpg,Wood3\Wood3_stick_paral_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed parallel to the grain.
Wood3\5.jpg,Wood3\Wood3_stick_verti_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed perpendicular to the grain.
Wood3\6.jpg,Wood3\Wood3_stick_verti_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed perpendicular to the grain.
Wood3\15.jpg,Wood3\Wood3_stick_verti_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed perpendicular to the grain.
Wood4\4.jpg,Wood4\Wood4finger_verti_slow.wav,The sound of a unknown object rubbing on Wood at a slow speed perpendicular to the grain.
Wood4\10.jpg,Wood4\Wood4_finger_paral_fast.wav,The sound of a finger rubbing on Wood at a fast speed parallel to the grain.
Wood4\3.jpg,Wood4\Wood4_finger_paral_middle.wav,The sound of a finger rubbing on Wood at a medium speed parallel to the grain.
Wood4\15.jpg,Wood4\Wood4_finger_paral_slow.wav,The sound of a finger rubbing on Wood at a slow speed parallel to the grain.
Wood4\18.jpg,Wood4\Wood4_finger_verti_fast.wav,The sound of a finger rubbing on Wood at a fast speed perpendicular to the grain.
Wood4\3.jpg,Wood4\Wood4_finger_verti_middle.wav,The sound of a finger rubbing on Wood at a medium speed perpendicular to the grain.
Wood4\15.jpg,Wood4\Wood4_nail_paral_fast.wav,The sound of a nail rubbing on Wood at a fast speed parallel to the grain.
Wood4\13.jpg,Wood4\Wood4_nail_paral_middle.wav,The sound of a nail rubbing on Wood at a medium speed parallel to the grain.
Wood4\15.jpg,Wood4\Wood4_nail_paral_slow.wav,The sound of a nail rubbing on Wood at a slow speed parallel to the grain.
Wood4\17.jpg,Wood4\Wood4_nail_verti_fast.wav,The sound of a nail rubbing on Wood at a fast speed perpendicular to the grain.
Wood4\9.jpg,Wood4\Wood4_nail_verti_middle.wav,The sound of a nail rubbing on Wood at a medium speed perpendicular to the grain.
Wood4\2.jpg,Wood4\Wood4_nail_verti_slow.wav,The sound of a nail rubbing on Wood at a slow speed perpendicular to the grain.
Wood4\2.jpg,Wood4\Wood4_stick_paral_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed parallel to the grain.
Wood4\18.jpg,Wood4\Wood4_stick_paral_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed parallel to the grain.
Wood4\12.jpg,Wood4\Wood4_stick_paral_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed parallel to the grain.
Wood4\16.jpg,Wood4\Wood4_stick_verti_fast.wav,The sound of a plastic stick rubbing on Wood at a fast speed perpendicular to the grain.
Wood4\13.jpg,Wood4\Wood4_stick_verti_middle.wav,The sound of a plastic stick rubbing on Wood at a medium speed perpendicular to the grain.
Wood4\20.jpg,Wood4\Wood4_stick_verti_slow.wav,The sound of a plastic stick rubbing on Wood at a slow speed perpendicular to the grain.
